"Pays","NbVehiculesElecVendus2022Par1000Actifs"
"Norvège",55.7
"Islande",50.7
"Suède",29.1
"Allemagne",18.6
"Danemark",18.2
"Belgique",18.1
"Suisse",11.7
"Finlande",11
"Pays-Bas",10.8
"France",10.7
"Royaume-Uni",10.7
"Autriche",9.8
"Israël",9.8
"Nouvelle-Zélande",9.5
"Chine",7.5
"Portugal",6.4
"États-Unis",5.9
"Canada",5.3
"Corée",4.5
"Italie",4.5
"Espagne",3.5
"Australie",2.8
"Grèce",1.8
"Japon",1.5
"Pologne",1.3
"Turquie",0.2
"Brésil",0.2
"Chili",0.2
"Mexique",0.1
"Inde",0.1
"Afrique du Sud",0
